factors,total_quantum_cycles,computation_time
"(5, (101, 31))",89693,691194785
"(2, (2, (2, (19, 103))))",27883,229347776
"(3, (17, 307))",192171,1927530049
"(2, 7829)",148,6872
"(2237, 7)",5688,97362504
"(2, (2, (3, ((3, 3), (5, 29)))))",8389,89702604
15661,133,4658
"(2, (41, 191))",20381,201575937
"(3, (23, 227))",47171,449913377
"(2, (2, (2, (2, (11, 89)))))",21274,126833684
"(5, (241, 13))",16469,137103861
"(2, (3, (7, 373)))",24536,187384945
15667,133,4040
"(2, (2, 3917))",163,6568
"((3, 3), 1741)",16399,97697126
"(2, (5, 1567))",20303,180384467
15671,133,4563
"(2, (2, (2, (3, 653))))",18611,150568409
"(7, 2239)",5688,53232109
"(2, (17, 461))",40453,423526985
"(5, (3, (19, (5, 11))))",13629,59837177
"(2, (2, 3919))",163,20193
"(257, 61)",11266,146862231
"(2, (3, (3, (67, 13))))",48495,333225199
15679,133,6366
"(2, (2, (2, (2, (2, (2, (5, (7, 7))))))))",173155,993107947
"(3, 5227)",55166,683701615
"(2, 7841)",148,12684
15683,133,4866
"(2, (2, (3, 1307)))",196,25324
"(5, 3137)",188,16469
"(2, ((23, 31), 11))",114906,816734572
"(7, ((3, 3), (83, 3)))",32387,193120732
"(2, (2, (2, (53, 37))))",18711,111433955
"(29, 541)",16738,175437341
"(2, (3, (5, 523)))",236,26941
"(13, (17, 71))",59019,763552117
"(2, (2, 3923))",163,24431
"(3, 5231)",16666,243083332
"(2, (59, (19, 7)))",27008,214058274
"(5, (73, 43))",24621,170123515
"(2, (2, (2, (2, ((3, 3), 109)))))",43159,348613351
"(11, 1427)",93714,966713574
"(2, (47, 167))",6981,60219097
"(3, 5233)",166,16726
"(2, (2, ((5, 5), 157)))",10773,86785878
"(7, 2243)",11188,215251345
"(2, (3, 2617))",20281,311819204
"(41, 383)",671266,7262468877
"(2, (2, (2, (13, 151))))",27859,213548599
"(3, (5, (3, 349)))",70154,473242076
"(2, 7853)",148,8229
"(113, 139)",55266,483218686
"(2, (2, (7, (11, (17, 3)))))",13604,53114823
"(683, 23)",104738,1115319841
"(2, (5, 1571))",13603,146596676
"(3, 5237)",11166,129952458
"(2, (2, (2, (2, (2, 491)))))",208,17889
"(19, 827)",110238,1351927339
"(2, ((3, 3), (97, (3, 3))))",49880,389730472
"(449, (5, 7))",19043,130067935
"(2, (2, 3929))",163,19536
"(3, ((13, 13), 31))",72400,379967771
"(2, (29, 271))",67253,583273670
"(1429, 11)",33214,289972727
"(2, (2, (2, (3, (5, 131)))))",30466,206678619
"(79, 199)",401766,4296597468
"(2, (7, 1123))",13603,133135231
"((3, 3), 1747)",38699,443908422
"(2, (2, 3931))",163,18320
"((5, 5), (17, 37))",68848,449625333
"(2, (3, 2621))",60481,600415837
15727,133,9094
"(2, (2, (2, (2, 983))))",193,19688
"(3, ((7, 7), 107))",180676,1443335824
"(2, (5, (13, (11, 11))))",196713,1136491144
15731,133,10327
"(2, (2, (3, (19, (3, 23)))))",306,51890
15733,133,6028
"(2, 7867)",148,8286
"(3, (5, 1049))",12421,122991477
"(2, (2, (2, (7, 281))))",83033,580931080
15737,133,3935
"(2, (43, (3, 61)))",27014,203879166
15739,133,15983
"(2, (2, (5, 787)))",8318,109731841
"(3, ((3, 3), (53, 11)))",64513,635512000
"(2, (17, 463))",20353,170260457
"(13, (7, 173))",57269,409455725
"(2, (2, (2, (2, (2, (2, (2, (3, 41))))))))",271,26940
"(5, (67, 47))",68021,673637749
"(2, 7873)",148,7139
"(3, (29, 181))",27071,250022273
"(2, (2, (127, 31)))",40768,314074800
15749,133,4397
"(2, (((3, 3), (5, (5, 5))), 7))",167801,1032322590
"(19, 829)",11238,106834579
"(2, (2, (2, (11, 179))))",9459,50071510
"(3, (89, 59))",47199,403820762
"(2, 7877)",148,8590
"(5, (137, 23))",49193,372661745
"(2, (2, (3, (13, 101))))",18677,95112722
"(7, 2251)",5688,43411604
"(2, 7879)",148,6564
"(3, (3, (17, 103)))",97804,701739297
"(2, (2, (2, (2, (5, 197)))))",248,92593
15761,133,5763
"(2, (71, (37, 3)))",33614,242797135
"(11, 1433)",5714,61388498
"(2, (2, (7, 563)))",73118,583603135
"((3, 5), 1051)",16721,255373382
"(2, 7883)",148,12672
15767,133,5523
"(2, (2, (2, (3, (73, (3, 3))))))",10777,66570572
"(13, 1213)",115714,1169821803
"(2, (5, (83, 19)))",25408,149994194
"(3, (7, 751))",20321,154505105
"(2, (2, 3943))",163,11318
15773,133,3567
"(2, (3, (239, 11)))",55562,408809743
"((5, 5), 631)",16243,115416293
"(2, (2, (2, (2, (2, (29, 17))))))",71085,433929912
"((3, 3), 1753)",16399,107244432
"(2, (7, (7, (23, 7))))",33785,289826880
"(31, 509)",170738,2020844493
"(2, (2, (3, (5, 263))))",27851,199509515
"(43, 367)",236766,2652373030
"(2, (607, 13))",47129,417461800
"(3, 5261)",5666,46690679
"(2, (2, (2, 1973)))",178,8248
"(11, (41, (7, 5)))",33824,216981070
"(2, (3, (3, 877)))",33714,306348742
15787,133,4319
"(2, (2, 3947))",163,6493
"(3, (19, 277))",30171,283740983
"(2, (5, 1579))",33703,313449392
15791,133,4229
"(2, (2, (2, (2, (3, (47, 7))))))",44881,206075841
"(17, 929)",49738,576712862
"(2, (53, 149))",47181,393330653
"(3, (3, ((3, (3, 3)), (13, 5))))",25801,176991667
"(2, (2, (11, 359)))",56944,443155599
15797,133,6237
"(2, (3, 2633))",6881,56533836
"(61, (37, 7))",28621,226737447
"(2, (2, (2, (5, (79, 5)))))",47488,269528538
"(3, (229, 23))",248171,2743689227
"(2, 7901)",148,8520
15803,133,3078
"(2, (2, (3, (3, 439))))",86729,632938231
"(5, (29, 109))",30093,263997242
"(2, (7, 1129))",33703,286612263
"(3, (479, 11))",23447,196521757
"(2, (2, (2, (2, (2, (2, (19, 13)))))))",13576,59785489
15809,133,8772
"(2, (3, ((17, 5), 31)))",8413,70241396
"(97, 163)",5766,59868318
"(2, (2, (59, 67)))",259496,2086776599
"(3, (7, (3, 251)))",46854,398133744
"(2, 7907)",148,6969
"(5, 3163)",27688,310953172
"(2, (2, (2, (3, 659))))",18611,116377165
15817,133,4081
"(2, (11, 719))",33729,318064946
"(3, 5273)",11166,99629016
"(2, (2, (113, (7, 5))))",21673,99988246
"(13, 1217)",22214,273543890
"(2, (3, (3, (3, 293))))",13647,126784293
15823,133,7520
"(2, (2, (2, (2, (43, 23)))))",63298,366739533
"((211, 3), (5, 5))",37276,213451308
"(2, (193, 41))",33781,302839635
"(17, (19, (7, 7)))",37420,156822170
"(2, (2, (3, 1319)))",8296,73143545
"(11, 1439)",44214,406678686
"(2, (5, 1583))",20303,150097146
"(3, (3, 1759))",19099,177454342
"(2, (2, (2, 1979)))",178,8913
"(223, 71)",638266,8562233386
"(2, (3, (7, (13, 29))))",47489,340878235
"(5, 3167)",16688,259786849
"(2, (2, (37, 107)))",607796,6411745842
"(3, 5279)",166,52301
"(2, 7919)",148,22187
"(337, 47)",82766,1338414404
"(2, (2, (2, (2, (2, (5, ((3, 3), 11)))))))",65877,619156191
"(73, (7, 31))",30093,212775932
"(2, (89, 89))",228081,2630684080
"(5281, 3)",38666,497487484
"(2, (2, (17, 233)))",202768,2106451421
"(5, 3169)",11188,126190851
"(2, (3, (19, 139)))",116186,1160784958
"((13, 53), 23)",32819,440150527
"(2, (2, (2, (7, 283))))",37033,292463190
"(((3, 3), 3), 587)",74232,655943902
"(2, (5, (5, 317)))",67258,810944827
"(11, (131, 11))",121395,1493131880
"(2, (2, (3, 1321)))",196,77691
"(83, 191)",412766,5587577330
"(2, 7927)",148,21574
"((7, 5), (3, 151))",29376,222009778
"(2, (2, (2, (2, 991))))",193,18733
"(101, 157)",225766,2797007233
"(2, (3, (3, 881)))",68914,696880423
15859,133,4413
"(2, (2, (5, (13, 61))))",21299,140106960
"(3, (17, 311))",186671,2012736187
"(2, (7, (11, 103)))",62184,449998641
"(29, 547)",77238,956757436
"(2, (2, (2, (3, 661))))",211,26514
"(5, (19, 167))",194693,1515913674
"(2, 7933)",148,7113
"(3, (3, (41, 43)))",15032,100615038
"(2, (2, 3967))",163,11167
"(7, 2267)",16688,199953803
"(2, (3, (5, (23, 23))))",166813,1131136533
"(59, 269)",11266,159117462
"(2, (2, (2, (2, (2, (2, (2, (2, (2, 31)))))))))",240,34799
"(3, (11, (13, 37)))",45628,432092921
"(2, 7937)",148,7552
"(5, (5, (5, 127)))",35898,381289608
"(2, (2, ((7, 7), (3, (3, (3, 3))))))",133872,901145648
15877,133,19049
"(2, (17, 467))",107453,1086190564
"(3, (67, 79))",47199,406083548
"(2, (2, (2, (5, 397))))",233,64430
15881,133,5356
"(2, (3, 2647))",73881,702894499
"(7, 2269)",188,16237
"(2, (2, (11, (19, 19))))",480421,3119677474
"(5, ((3, 3), 353))",5754,73726607
"(2, (47, (13, 13)))",74010,786775537
15887,133,10961
"(2, (2, (2, (2, (3, 331)))))",21226,150269453
15889,133,5587
"(2, (5, (7, 227)))",114858,1066346324
"(3, 5297)",22166,266599990
"(2, (2, (137, 29)))",56968,473401679
"(691, 23)",38738,409716817
"(2, ((3, 3), 883))",40414,313269069
"(5, (11, (17, 17)))",111946,846836025
"(2, (2, (2, 1987)))",178,11282
"(3, (757, 7))",6921,63328830
"(2, 7949)",148,11698
"(13, 1223)",49714,576329269
"(2, (2, (3, (5, (5, 53)))))",18706,167258389
15901,133,6373
"(2, 7951)",148,6830
"(3, (3, ((3, 19), 31)))",9509,69860818
"(2, (2, (2, (2, (2, (7, 71))))))",12063,80177448
"(5, 3181)",188,92758
"(2, (3, (241, 11)))",15062,106027545
15907,133,4721
"(2, (2, (97, 41)))",56996,487925346
"(3, 5303)",166,109264
"(2, (5, (37, 43)))",25436,222271474
"(7, 2273)",5688,80427382
"(2, (2, (2, ((3, 3), (13, 17)))))",29797,229107280
15913,133,12045
"(2, (109, 73))",47181,543818658
"(3, (5, 1061))",12421,109608362
"(2, (2, (23, 173)))",73168,623439810
"(11, 1447)",27714,280344445
"(2, (3, (379, 7)))",8336,77164801
15919,133,7541
"(2, (2, (2, (2, (5, 199)))))",10748,99322374
"(3, (61, (29, 3)))",27004,246988165
"(2, (19, 419))",114153,1232569023
15923,133,4332
"(2, (2, (3, 1327)))",16396,160332003
"(5, (5, (13, (7, 7))))",98701,640237705
"(2, 7963)",148,16657
"(3, 5309)",16666,188531958
"(2, (2, (2, (11, 181))))",18659,183230898
"(937, 17)",82738,900580421
"(2, (5, ((3, 3), (3, 59))))",25402,194019355
"(89, 179)",66266,690816189
"(2, (2, (7, 569)))",32618,259108599
"(3, (113, 47))",20399,170343952
"(2, (31, 257))",435753,4556541744
"(5, 3187)",5688,66289055
"(2, (2, (2, (2, (2, (2, (3, 83)))))))",256,21957
15937,133,2991
"(2, (13, 613))",87329,840658778
"((3, 3), ((11, 23), 7))",49407,256659926
"(2, (2, (5, 797)))",81218,709439866
"(19, 839)",33238,328991148
"(2, (3, 2657))",47081,498213450
"(149, 107)",187266,2246027353
"(2, (2, (2, 1993)))",178,9841
"(3, (5, 1063))",16721,158355951
"(2, (17, (67, 7)))",35708,175112122
"(37, 431)",269766,3043376677
"(2, (2, ((3, 3), 443)))",32629,230021380
"(41, 389)",22266,230083664
"(2, (((5, 5), 11), 29))",102811,788865900
"(409, (3, 13))",19047,174626466
"(2, (2, (2, (2, 997))))",193,17444
"((53, 43), 7)",165521,1639890981
"(2, (3, 2659))",181,73261
"(5, 3191)",188,14741
"(2, (2, 3989))",163,8488
"(((3, 3), 3), (3, 197))",97765,1023070193
"(2, (79, 101))",27081,293252645
15959,133,6359
"(2, (2, (2, (3, (5, (19, 7))))))",24093,123345631
"(11, 1451)",137714,1433507440
"(2, (23, 347))",348653,3563121394
"(3, (17, 313))",66771,712696364
"(2, (2, (13, 307)))",56944,424197436
"(5, (31, 103))",337893,2686772287
"(2, (3, (3, 887)))",31214,236668165
"(7, 2281)",188,24786
"(2, (2, (2, (2, (2, 499)))))",208,21797
"(3, 5323)",166,21338
"(2, (5, 1597))",33703,398940548
15971,133,4780
"(2, (2, (3, (11, (11, 11)))))",317306,2174148862
15973,133,6013
"(2, (7, (163, 7)))",27858,233047493
"((3, 3), ((5, 5), 71))",67709,543079794
"(2, (2, (2, 1997)))",178,12995
"(13, 1229)",82714,1134428603
"(2, (3, 2663))",6881,62208302
"(19, (29, 29))",415315,3813986673
"(2, (2, (5, (17, 47))))",69023,489845767
"(7, (761, 3))",40721,363878056
"(2, (61, 131))",154381,1674929140
"(11, 1453)",38714,447607183
"(2, (2, (2, (2, (37, (3, (3, 3)))))))",35092,266716464
"(23, (5, 139))",16293,167092745
"(2, 7993)",148,15434
"((73, 73), 3)",158699,1749885897
"(2, (2, (7, 571)))",16418,122932142
"(271, 59)",165266,2062960081
"(2, (41, ((5, 13), 3)))",20317,170768054
15991,133,11116
"(2, (2, (2, 1999)))",178,17745
"((3, 3), 1777)",8299,59335636
"(2, (11, 727))",288329,2809544742
"(5, (7, 457))",78643,713868814
"(2, (2, (3, (31, 43))))",18701,173978390
"(17, 941)",11238,129682675
"(2, (19, 421))",33753,401863339
"(3, 5333)",33166,391020682
"(2, (2, (2, (2, (2, (2, (2, (5, (5, 5)))))))))",227770,1350188806
16001,133,13625
"(2, (3, (7, (127, 3))))",43769,324267255
"(13, 1231)",27714,335742514
"(2, (2, 4001))",163,9651
"(97, ((5, 11), 3))",26902,167276126
"(2, (53, 151))",27081,342979216
16007,133,9217
"(2, (2, (2, (3, (29, 23)))))",105288,769947921
"(7, 2287)",49688,559696171
"(2, (5, 1601))",33703,257298763
"((3, 3), (3, 593))",70532,603865381
"(2, (2, 4003))",163,25594
"(239, 67)",22266,258797296
"(2, (3, (17, 157)))",89386,717235077
"(5, 3203)",33188,387393752
"(2, (2, (2, (2, (7, (13, 11))))))",24077,191335968
"((3, 19), 281)",5771,80365722
"(2, 8009)",148,10335
"(193, 83)",368766,4457032993
"(2, (2, ((3, (5, 89)), 3)))",284,65956
"(433, 37)",5766,65616845
"(2, 8011)",148,10336
"(109, (3, (7, 7)))",157576,965193109
"(2, (2, (2, 2003)))",178,22041
"(5, (5, 641))",13843,146234623
"(2, (3, 2671))",26981,316214214
"(11, (47, 31))",42619,343667808
"(2, (2, 4007))",163,12854
"(3, (3, (137, 13)))",9480,68183216
"(2, ((5, 229), 7))",36258,328416431
"(23, (17, 41))",44343,449608701
"(2, (2, (2, (2, (2, (3, 167))))))",12041,63721904
16033,133,8770
"(2, 8017)",148,10242
"(3, (5, 1069))",6921,77506020
"(2, (2, (19, 211)))",81268,615526572
"(29, (7, 79))",48293,390646989
"(2, (3, (3, (3, (((3, 3), 3), 11)))))",192394,1446100884
"(373, 43)",33266,389961401
"(2, (2, (2, (5, 401))))",64633,493836603
"(3, 5347)",16666,220261570
"(2, (13, 617))",229,17320
"(61, 263)",104766,1252518684
"(2, (2, (3, (7, 191))))",9451,60093003
"(5, 3209)",11188,130005650
"(2, (113, 71))",20381,196796100
"(1783, (3, 3))",11199,122956453
"(2, (2, (2, (2, (17, 59)))))",199798,1310053444
"(11, 1459)",22214,223342737
"(2, (3, (5, (5, 107))))",57091,380169401
"(7, 2293)",22188,323056195
"(2, (2, 4013))",163,9165
"(3, 5351)",166,11367
"(2, (349, 23))",140953,1389684678
"((5, (13, 13)), 19)",41122,491038180
"(2, (2, (2, (3, (3, 223)))))",9444,79979106
16057,133,7357
"(2, (7, (31, 37)))",25408,205985834
"(3, (53, 101))",28999,274371939
"(2, (2, (5, (73, 11))))",21299,98975089
16061,133,5778
"(2, (3, 2677))",181,32295
16063,133,3547
"(2, (2, (2, (2, (2, (2, 251))))))",223,14077
"((3, 3), ((3, 5), (17, 7)))",13614,52984167
"(2, (29, 277))",6953,78187944
16067,133,11829
"(2, (2, (3, (13, 103))))",55477,370752014
16069,133,5102
"(2, (5, 1607))",53803,493904856
"(3, (11, 487))",59347,653600270
"(2, (2, (2, (7, (7, 41)))))",12088,59291700
16073,133,8345
"(2, (3, (19, (3, 47))))",35119,254567937
"(5, (5, 643))",78643,648904837
"(2, (2, 4019))",163,8938
"(3, (23, 233))",19171,177641691
"(2, 8039)",148,8416
"(7, 2297)",137688,1676577360
"(2, (2, (2, (2, (67, (5, 3))))))",10781,70636738
"(13, 1237)",181714,2206306385
"(2, (11, (17, 43)))",31834,186302219
"(3, (3, 1787))",6899,53283619
"(2, (2, 4021))",163,8665
"(5, 3217)",188,9862
"(2, (3, (7, 383)))",73136,603525594
16087,133,4117
"(2, (2, (2, 2011)))",178,7740
"(3, (173, 31))",80671,840318823
"(2, (5, 1609))",13603,135713112
16091,133,4331
"(2, (2, (3, (3, (3, 149)))))",53262,367248185
"(19, (7, (11, 11)))",479022,2950335276
"(2, (13, 619))",94029,976462877
"(37, ((3, 5), 29))",5826,70416666
"(2, (2, (2, (2, (2, 503)))))",208,28519
16097,133,9376
"(2, (3, 2683))",6881,72942784
"(17, 947)",71738,916666225
"(2, (2, ((5, 5), (7, 23))))",79900,585475314
"(3, (3, 1789))",16699,247974662
"(2, (83, 97))",140981,1756400704
16103,133,7265
"(2, (2, (2, (61, (11, 3)))))",22792,150001884
"(5, 3221)",22188,281002476
"(2, 8053)",148,22060
"(7, (3, (13, 59)))",69502,666025539
"(2, (2, 4027))",163,15928
"(181, 89)",60766,754077236
"(2, (3, (3, (5, 179))))",38469,249030008
16111,133,7403
"(2, (2, (2, (2, (53, 19)))))",105298,780201610
"(3, (41, 131))",40499,379512597
"(2, (7, 1151))",6903,53397968
"(11, (5, 293))",24169,153321327
"(2, (2, (3, (17, 79))))",27901,150034311
"(71, 227)",269766,3233216241
"(2, 8059)",148,8964
"((3, ((3, 3), 3)), 199)",207265,1600213808
"(2, (2, (2, (5, (13, 31)))))",35686,206768895
"(7, (7, (7, 47)))",20198,143647408
"(2, (3, 2687))",26981,296576485
"(23, 701)",38738,501063555
"(2, (2, (29, 139)))",268,19495
"(5, (5, (5, (43, 3))))",29631,188750131
"(2, (11, 733))",47129,424174273
16127,133,4155
"(2, (2, (2, (2, (2, (2, (2, (2, ((3, 3), 7)))))))))",13541,63362318
"(127, 127)",2172766,25388663867
"(2, (5, 1613))",6903,76639867
"(3, (19, 283))",120871,1243480005
"(2, (2, (37, 109)))",24596,222094198
"(13, (17, 73))",51819,444597856
"(2, (3, 2689))",13581,159920196
"(5, (7, 461))",16443,130032931
"(2, (2, (2, 2017)))",178,10569
"((3, 3), (11, 163))",111780,928815726
"(2, 8069)",148,7288
16139,133,2546
"(2, (2, (5, (3, 269))))",16451,125850726
16141,133,4542
"(2, (7, 1153))",6903,69801308
"(3, 5381)",166,51005
"(2, (2, (2, (2, 1009))))",193,30055
"(5, 3229)",11188,175694532
"(2, (3, (3, ((23, 13), 3))))",53600,361354041
"(241, 67)",49766,624820764
"(2, (2, (11, 367)))",244,46018
"(3, (7, 769))",25821,223303461
"(2, ((5, 19), (17, 5)))",40235,232087292
"(521, 31)",55238,664591643
"(2, (2, (2, (673, 3))))",64611,523386618
"(29, 557)",16738,213648163
"(2, (197, 41))",40481,383004132
"(3, (3, (5, 359)))",12454,107046588
"(2, (2, (577, 7)))",40718,343032675
"(107, 151)",16766,177029813
"(2, (3, 2693))",6881,79775005
"(11, (13, 113))",44395,342740436
"(2, (2, (2, (2, (2, (5, 101))))))",59263,350741854
"(3, 5387)",38666,409605017
"(2, 8081)",148,6384
"(7, 2309)",5688,46631371
"(2, (2, ((3, 3), 449)))",56929,516807406
"(5, (61, 53))",19421,209951767
"(2, (59, 137))",60581,629460003
"(17, (3, 317))",10771,94121829
"(2, (2, (2, (47, 43))))",147511,1080057286
"(19, (23, 37))",16343,178502924
"(2, (11, (3, (5, (7, 7)))))",60194,434399820
"(157, 103)",104766,1307062079
"(2, (2, (13, 311)))",24544,179253175
"(3, (3, (599, 3)))",57732,538852086
"(2, 8087)",148,6935
"((5, 5), 647)",104743,1191671833
"(2, (2, (2, (2, (3, 337)))))",226,22143
"(7, 2311)",16688,203462680
"(2, 8089)",148,13991
"(3, 5393)",5666,70003813
"(2, (2, (5, 809)))",113618,909866386
"(11, 1471)",5714,46397831
"(2, (29, (3, (3, 31))))",13691,93409482
16183,133,5111
"(2, (2, (2, (7, (17, 17)))))",136710,776616529
"(13, (3, (5, 83)))",12102,56572052
"(2, 8093)",148,8431
16187,133,3171
"(2, (2, (3, (19, 71))))",17601,128314341
16189,133,16102
"(2, (5, 1619))",27003,257825569
"(3, (7, (257, 3)))",63754,493974891
"(2, (2, (2, (2, (2, (2, (11, 23)))))))",66776,433901573
16193,133,11648
"(2, (3, 2699))",181,28307
"(5, (41, 79))",46321,344462322
"(2, (2, 4049))",163,8471
"(3, 5399)",5666,68939339
"(2, (13, (7, 89)))",13684,164139098
"(167, 97)",264266,3161760211
"(2, (2, (2, (3, (5, ((5, 3), (3, 3)))))))",57587,363172795
"(17, 953)",110238,1437171969
"(2, 8101)",148,15527
"(11, (3, 491))",5747,76290411
"(2, (2, 4051))",163,8388
"(5, (7, 463))",65043,510063183
"(2, ((73, 37), 3))",15114,106493341
"(19, 853)",5738,66990015
"(2, (2, (2, (2, 1013))))",193,18658
"(3, (3, 1801))",19099,196599593
"(2, (5, 1621))",203,18670
"((29, 13), 43)",17619,156930812
"(2, (2, (193, (7, 3))))",18851,126260760
"(31, 523)",16738,171449182
"(2, ((11, 11), 67))",426210,2722159456
"(5, (3, (23, 47)))",58126,467321791
"(2, (2, (2, 2027)))",178,14638
16217,133,5847
"(2, ((3, 3), (17, 53)))",91019,645975564
"((7, 7), 331)",112543,1406994617
"(2, (2, (5, 811)))",32618,239752161
"(3, 5407)",22166,346683440
"(2, 8111)",148,8089
16223,133,3461
"(2, (2, (2, (2, (2, (3, (13, 13)))))))",102170,680089999
"((5, 5), (11, 59))",115824,684219664
"(2, (7, (19, 61)))",9508,48436268
"(3, (3, (601, 3)))",109832,1093741432
"(2, (2, 4057))",163,18205
16229,133,5789
"(2, (3, (541, 5)))",8336,69489836
16231,133,4299
"(2, (2, (2, 2029)))",178,7235
"(7, (3, 773))",32621,301874521
"(2, 8117)",148,6458
"(17, (5, 191))",32293,271175279
"(2, (2, ((3, (3, 11)), 41)))",13610,57781701
"(1249, 13)",121214,1499793615
"(2, (353, 23))",20353,199497875
"(3, 5413)",11166,100997572
"(2, (2, (2, (2, (7, (29, 5))))))",26875,136307167
"(109, 149)",335766,4196454362
"(2, (3, 2707))",13581,156670415
"(439, 37)",66266,823336979
"(2, (2, (31, 131)))",65068,641067546
"((3, 3), (5, (19, 19)))",273131,1908639979
"(2, 8123)",148,9789
"(11, (7, 211))",16769,166366178
"(2, (2, (2, (3, 677))))",18611,154037925
16249,133,9081
"(2, (5, (5, (5, (13, 5)))))",90716,714622073
"(3, 5417)",166,38016
"(2, (2, (17, 239)))",65068,484785580
16253,133,5518
"(2, ((3, 3), (3, (7, 43))))",36402,229996965
"(5, 3251)",188,42089
"(2, (2, (2, (2, (2, (2, (2, 127)))))))",238,16283
"(3, 5419)",11166,109890161
"(2, (11, 739))",27029,243389695
"(71, 229)",236766,2900123997
"(2, (2, (5, (3, 271))))",16451,123615778
"(7, (23, 101))",38493,382960445
"(2, (173, 47))",20381,210645500
"(3, (3, (13, 139)))",82980,683026498
"(2, (2, (2, (19, 107))))",83083,632940584
"(5, 3253)",5688,42167357
"(2, (3, 2711))",6881,43485172
16267,133,4432
"(2, (2, (83, (7, 7))))",273,21027
"(3, (17, (11, 29)))",38924,304618247
"(2, (5, 1627))",6903,70328977
"(307, 53)",220266,2567436524
"(2, (2, (2, (2, (113, (3, 3))))))",10759,62184903
16273,133,8367
"(2, (79, 103))",27081,253291509
"((7, 3), (31, (5, 5)))",47803,278127713
"(2, (2, (13, 313)))",16444,148823911
"(397, 41)",5766,69403239
"(2, (3, 2713))",181,52343
"(73, 223)",165266,2066683394
"(2, (2, (2, ((5, 37), 11))))",22814,132215309
"((3, (3, 3)), (3, (3, 67)))",32998,306583210
"(2, (7, 1163))",20303,151109837
"(19, 857)",22238,254054285
"(2, (2, (3, (59, 23))))",63601,501622503
"(5, 3257)",27688,332476102
"(2, (17, 479))",67253,775390589
"(3, (89, 61))",6999,76791266
"(2, (2, (2, (2, (2, 509)))))",208,24872
"(7, (13, 179))",230569,2072977992
"(2, (5, (3, (3, 181))))",269,25369
"(11, 1481)",132214,1495504619
"(2, (2, 4073))",163,8390
"(3, 5431)",33166,468144497
"(2, 8147)",148,12848
"(5, 3259)",143188,1666450985
"(2, (2, (2, (3, (97, 7)))))",19966,140718462
"(43, 379)",266,113980
"(2, (281, 29))",27053,235604737
"(3, (3, 1811))",5699,58077353
"(2, (2, (5, (163, 5))))",43173,352105628
16301,133,6122
"(2, ((13, 3), (19, 11)))",26915,185016336
"(7, (137, 17))",13893,195109920
"(2, (2, (2, (2, 1019))))",193,18280
"(3, (5, 1087))",66021,1026343379
"(2, (31, 263))",107453,1233681597
"(23, 709)",16738,176390300
"(2, (2, (3, ((3, 3), 151))))",41862,370254394
"(47, 347)",44266,456435954
"(2, (5, (7, 233)))",22858,180086437
"(3, 5437)",166,19582
"(2, (2, (2, 2039)))",178,10493
"(11, 1483)",49714,546345663
"(2, (3, 2719))",181,14014
"(5, (13, 251))",57269,556841275
"(2, (2, 4079))",163,11252
"(37, ((7, 7), (3, 3)))",95109,593389677
"(2, (41, 199))",6981,64881622
16319,133,5306
"(2, (2, (2, (2, (2, (2, ((17, 5), 3)))))))",26883,181529065
"(19, 859)",22238,230020895
"(2, 8161)",148,7699
"(3, 5441)",5666,52462937
"(2, (2, (7, (53, 11))))",73799,491267749
"((5, 5), 653)",120743,1389845532
"(2, (3, (3, 907)))",15014,214183429
"(29, 563)",352238,4084876278
"(2, (2, (2, (13, 157))))",259,16963
"(3, 5443)",5666,42685838
"(2, (5, (71, 23)))",324008,2158321910
"(7, 2333)",33188,292986303
"(2, (2, (3, 1361)))",8296,63652314
16333,133,7338
"(2, 8167)",148,9704
"((3, 3), (5, (3, (11, 11))))",564316,3219675193
"(2, (2, (2, (2, 1021))))",193,10661
"(17, (31, 31))",312315,2427052518
"(2, (3, (7, 389)))",40736,375657238
16339,133,3908
"(2, (2, (5, (19, 43))))",8423,67811157
"(3, (13, 419))",247,34851
"(2, 8171)",148,13542
"(277, 59)",266,25390
"(2, (2, (2, ((3, 3), 227))))",24544,168038522
"(7, (5, 467))",27743,287509262
"(2, (11, 743))",100729,1027135296
"(3, 5449)",166,12598
"(2, (2, (61, 67)))",16496,133554771
16349,133,7154
"(2, (5, (3, (5, 109))))",52791,330984893
"(83, 197)",192766,2169019750
"(2, (2, (2, (2, (2, (73, 7))))))",12063,54931329
"((3, 3), (23, 79))",136104,1055666132
"(2, ((17, 13), 37))",20334,149457891
"(5, 3271)",5688,59759794
"(2, (2, (3, (29, 47))))",55501,350433246
"(11, 1487)",148714,2093274689
"(2, 8179)",148,8464
"(3, (19, (41, 7)))",47926,299679459
"(2, (2, (2, (5, 409))))",9433,131007595
16361,133,13271
"(2, (3, ((3, 3), (3, 101))))",12080,109305778
16363,133,6552
"(2, (2, 4091))",163,10456
"(5, (3, 1091))",51721,523323162
"(2, (7, (7, 167)))",83058,763100168
"(13, 1259)",99214,1316384056
"(2, (2, (2, (2, ((3, 31), 11)))))",279,24100
16369,133,4057
"(2, (5, 1637))",203,9839
"(3, (3, (17, 107)))",304,17955
"(2, (2, 4093))",163,6040
"(7, 2339)",22188,276870313
"(2, (3, 2729))",181,20515
"((5, (5, 5)), 131)",154598,1293256348
"(2, (2, (2, (89, 23))))",9483,89847557
"(3, (53, 103))",6999,87886837
"(2, (431, 19))",181153,2102029037
"(11, 1489)",88214,1161325679
