factors,total_quantum_cycles,computation_time
"(2, (2, (2, (3, (7, 3)))))",31666,233990887
"(5, 101)",59188,307349045
"(2, (23, 11))",13501,81281321
"((13, 13), 3)",25295,183890419
"(2, (2, 127))",163,16310
509,133,4768
"(2, (3, (17, 5)))",13508,93447305
"(7, 73)",188,104029
"(2, (2, (2, (2, (2, (2, (2, (2, 2))))))))",135,42276
"(3, (3, (3, 19)))",204,54521
"(2, 257)",148,11660
"(5, 103)",126188,932322535
"(2, (2, (3, 43)))",196,33711
"(47, 11)",31714,171048239
"(2, (37, 7))",35603,224049720
"(173, 3)",10666,58855525
"(2, (2, (2, (13, 5))))",26781,160466935
521,133,6844
"(2, ((3, 3), 29))",23786,210092347
523,133,7053
"(2, (2, 131))",163,14865
"((5, 5), (7, 3))",210198,1290892173
"(2, 263)",148,7040
"(17, 31)",10710,62103805
"(2, (2, (2, (2, (3, 11)))))",174,57030
"(23, 23)",210,15704
"(2, (5, 53))",203,16280
"((3, 3), 59)",37399,249531795
"(2, (2, (19, 7)))",13490,53622335
"(41, 13)",10714,49847288
"(2, (3, 89))",181,31291
"(5, 107)",21188,103420113
"(2, (2, (2, 67)))",178,11453
"(3, 179)",166,12084
"(2, 269)",148,4672
"(7, (11, 7))",52691,319572513
"(2, (2, ((3, (3, 3)), 5)))",61684,473758226
541,133,5968
"(2, 271)",148,9106
"(3, 181)",10666,61312785
"(2, (2, (2, (2, (2, 17)))))",180,11502
"(5, 109)",31688,188173549
"(2, (13, (3, 7)))",11984,53847423
547,133,4902
"(2, (2, 137))",163,9598
"(61, (3, 3))",10699,65838620
"(2, (11, (5, 5)))",149806,850540663
"(29, 19)",63210,404302669
"(2, (2, (2, (3, 23))))",13483,50337765
"(7, 79)",52688,359013737
"(2, 277)",148,9533
"((37, 5), 3)",10721,56445290
"(2, (2, 139))",163,7107
557,133,2328
"(2, (3, (3, 31)))",13486,60247996
"(13, 43)",10714,73448156
"(2, (2, (2, (2, (7, 5)))))",170,70139
"(3, (17, 11))",13519,66013177
"(2, 281)",148,11886
563,133,3484
"(2, (2, (3, 47)))",53396,267285887
"(5, 113)",10688,66328444
"(2, 283)",148,8501
"((3, 3), ((3, 3), 7))",48287,269679139
"(2, (2, (2, 71)))",178,9714
569,133,2015
"(2, (3, (5, 19)))",13508,53612124
571,133,4217
"(2, (2, (11, 13)))",13492,53338220
"(3, 191)",10666,49904957
"(2, (41, 7))",23803,114555139
"(5, (5, 23))",40115,188392845
"(2, (2, (2, (2, (2, (2, (3, 3)))))))",156,70583
577,133,5178
"(2, (17, 17))",212625,1103876267
"(3, 193)",42166,276220757
"(2, (2, (5, 29)))",190,21796
"(7, 83)",42188,277105780
"(2, (3, 97))",181,24279
"(53, 11)",63214,339909788
"(2, (2, (2, 73)))",178,14786
"(5, (13, (3, 3)))",54002,331808435
"(2, 293)",148,6808
587,133,1995
"(2, (2, ((7, 7), 3)))",53373,275016377
"(19, 31)",10710,56271511
"(2, (5, 59))",82803,440070318
"(3, 197)",10666,52199593
"(2, (2, (2, (2, 37))))",193,9874
593,133,2023
"(2, (11, (3, (3, 3))))",20095,112793638
"(17, (5, 7))",21215,116763105
"(2, (2, 149))",163,11655
"(3, 199)",10666,74756274
"(2, (13, 23))",201,60556
599,133,3735
"(2, (2, (2, ((5, 5), 3))))",55488,289852632
601,133,6558
"(2, (7, 43))",23803,187062365
"(3, (67, 3))",26799,153380418
"(2, (2, 151))",163,17303
"(5, (11, 11))",276717,1696613727
"(2, (101, 3))",35581,237248543
607,133,7159
"(2, (2, (2, (2, (2, 19)))))",180,28207
"(3, (7, 29))",13493,75936603
"(2, (5, 61))",12003,60373206
"(13, 47)",214,28770
"(2, (2, (17, (3, 3))))",45901,302657523
613,133,5518
"(2, 307)",148,8616
"(3, (41, 5))",13521,76792993
"(2, (2, (2, (7, 11))))",13481,66320680
617,133,3046
"(2, (103, 3))",35581,216248855
619,133,3463
"(2, (2, (5, 31)))",190,45477
"(3, (23, (3, 3)))",48804,383769769
"(2, 311)",148,6630
"(7, 89)",188,11195
"(2, (2, (2, (2, (13, 3)))))",53374,256853430
"(5, (5, (5, 5)))",250820,1469791193
"(2, 313)",148,11323
"(3, (11, 19))",13519,56890797
"(2, (2, 157))",163,11803
"(17, 37)",10738,60052778
"(2, (5, (7, (3, 3))))",8291,73424409
631,133,3286
"(2, (2, (2, 79)))",178,8023
"(3, 211)",166,10114
"(2, 317)",148,3450
"(5, 127)",10688,48852718
"(2, (2, (53, 3)))",13496,70497361
"(7, (7, 13))",26791,153697299
"(2, (29, 11))",12001,49923840
"(3, (71, 3))",37299,174949543
"(2, (2, (2, (2, (2, (2, (2, 5)))))))",160,13674
641,133,2063
"(2, (3, 107))",47381,235202421
643,133,3900
"(2, (2, (23, 7)))",13490,59428431
"((3, 5), 43)",221,45561
"(2, (19, 17))",225,10366
647,133,2231
"(2, (2, (2, (3, (3, (3, 3))))))",80077,466837883
"(59, 11)",214,11604
"(2, (13, (5, 5)))",12006,50144451
"(31, (3, 7))",10693,57817367
"(2, (2, 163))",163,7799
653,133,2319
"(2, (3, 109))",181,12465
"(5, 131)",31688,182841384
"(2, (2, (2, (2, 41))))",193,10338
"(73, (3, 3))",34999,252512041
"(2, (7, 47))",12003,70441948
659,133,5509
"(2, (2, (3, (11, 5))))",13499,65306123
661,133,2773
"(2, 331)",148,4408
"(3, (17, 13))",26819,164655708
"(2, (2, (2, 83)))",178,20363
"(5, (7, 19))",50615,249964194
"(2, (37, (3, 3)))",36314,239265290
"(29, 23)",31710,190977152
"(2, (2, 167))",163,11740
"(3, 223)",166,40840
"(2, (5, 67))",12003,69670576
"(61, 11)",10714,80074799
"(2, (2, (2, (2, (2, (3, 7))))))",10663,54324370
673,133,3822
"(2, 337)",148,5855
"((3, 5), ((5, 3), 3))",16409,95118572
"(2, (2, (13, 13)))",66692,320339096
677,133,5534
"(2, (3, 113))",181,21108
"(97, 7)",21188,149719988
"(2, (2, (2, (17, 5))))",13505,62662925
"(3, 227)",166,30218
"(2, (11, 31))",35601,206472559
683,133,3374
"(2, (2, (3, (3, 19))))",13501,57628892
"(5, 137)",10688,73544164
"(2, (7, (7, 7)))",236380,1184275030
"(229, 3)",10666,55645649
"(2, (2, (2, (2, 43))))",193,9964
"(13, 53)",214,33437
"(2, (5, (3, 23)))",38608,290249558
691,133,6844
"(2, (2, 173))",163,13567
"(3, ((7, 3), 11))",45002,287568668
"(2, 347)",148,6336
"(5, 139)",21188,107420136
"(2, (2, (2, (3, 29))))",26783,154354050
"(17, 41)",31738,172239443
"(2, 349)",148,6138
"(233, 3)",31666,203559612
"(2, (2, (7, (5, 5))))",212995,1244267951
701,133,3810
"(2, (3, (13, (3, 3))))",37795,309911808
"(37, 19)",10738,56606294
"(2, (2, (2, (2, (2, (2, 11))))))",171,13557
"(5, (3, 47))",26821,147240865
"(2, 353)",148,13059
"(7, 101)",10688,79710022
"(2, (2, (3, 59)))",196,65445
709,133,3056
"(2, (5, 71))",12003,68050833
"(3, (3, 79))",13499,84517583
"(2, (2, (2, 89)))",178,8891
"(23, 31)",10710,88137759
"(2, ((17, 3), 7))",25308,172325953
"(11, (13, 5))",24017,187766165
"(2, (2, 179))",163,10265
"(3, 239)",166,73887
"(2, 359)",148,5534
719,133,2248
"(2, (2, (2, (2, (3, (3, 5))))))",181,28257
"(7, 103)",31688,252741997
"(2, (19, 19))",637425,3633470351
"(3, 241)",166,10817
"(2, (2, 181))",163,5630
"(29, (5, 5))",73715,472466824
"(2, (3, (11, 11)))",50410,300423971
727,133,7569
"(2, (2, (2, (7, 13))))",13481,60741724
"(3, (3, (3, ((3, 3), 3))))",90498,523525886
"(2, (73, 5))",12003,65768777
"(17, 43)",21238,146706964
"(2, (2, (61, 3)))",13496,66544514
733,133,5127
"(2, 367)",148,8801
"(5, (3, (7, 7)))",37298,207705082
"(2, (2, (2, (2, (2, 23)))))",180,11338
"(11, 67)",21214,155945726
"(2, (3, (41, 3)))",13514,63093938
739,133,6396
"(2, (2, (37, 5)))",218,97486
"(19, (3, 13))",10719,73183399
"(2, (7, 53))",23803,157751954
743,133,2959
"(2, (2, (2, (31, 3))))",13483,71423599
"(5, 149)",188,45901
"(2, 373)",148,8288
"(3, (3, 83))",13499,90896894
"(2, (2, (17, 11)))",13516,76487339
"(7, 107)",42188,242272790
"(2, (3, ((5, 5), 5)))",167313,907293504
751,133,7349
"(2, (2, (2, (2, 47))))",193,23402
"(3, 251)",166,24930
"(2, (13, 29))",35601,217649671
"(5, 151)",21188,129324124
"(2, (2, ((3, 3), (3, 7))))",81184,546228334
757,133,3723
"(2, 379)",148,5124
"(3, (11, 23))",130419,627026065
"(2, (2, (2, (5, 19))))",13505,69896429
761,133,3036
"(2, (3, 127))",181,30619
"(109, 7)",10688,53166403
"(2, (2, 191))",163,8143
"(17, (5, (3, 3)))",48326,313265978
"(2, 383)",148,7232
